,Store,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,StoreType_b,StoreType_c,StoreType_d
0,1,1,1270.0,9.0,2008.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
1,2,1,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
2,3,1,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
3,4,3,620.0,9.0,2009.0,0,0.0,0.0,NotApplicable,0.0,1.0,0.0
4,5,1,29910.0,4.0,2015.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
5,6,1,310.0,12.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
6,7,3,24000.0,4.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
7,8,1,7520.0,10.0,2014.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
8,9,3,2030.0,8.0,2000.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
9,10,1,3160.0,9.0,2009.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
10,11,3,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
11,12,3,1070.0,9.0,2013.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
12,13,1,310.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov",0.0,0.0,1.0
13,14,1,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
14,15,3,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.0,0.0,1.0
15,16,3,3270.0,9.0,2013.0,0,0.0,0.0,NotApplicable,0.0,0.0,0.0
16,17,1,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",0.0,0.0,0.0
